iter	Passed	Remaining
0	1	142
1	2	129
2	3	122
3	4	117
4	6	114
5	7	111
6	8	110
7	9	108
8	10	108
9	11	107
10	13	105
11	14	104
12	15	104
13	17	105
14	18	107
15	20	107
16	21	106
17	23	105
18	24	104
19	25	102
20	26	100
21	27	98
22	28	96
23	30	95
24	31	93
25	32	91
26	33	90
27	34	88
28	35	87
29	36	86
30	38	84
31	39	84
32	40	82
33	41	81
34	42	79
35	44	78
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	65	53
55	66	51
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	80	39
67	84	39
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	96	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	121	0
