iter	Passed	Remaining
0	594	594389
1	613	306349
2	656	218159
3	658	163988
4	661	131550
5	663	109959
6	672	95367
7	679	84291
8	683	75267
9	688	68150
10	718	64621
11	745	61420
12	774	58766
13	776	54707
14	782	51375
15	786	48349
16	791	45782
17	799	43624
18	808	41724
19	815	39954
20	818	38159
21	824	36670
22	848	36024
23	853	34705
24	861	33616
25	875	32794
26	878	31660
27	888	30856
28	893	29906
29	923	29845
30	926	28960
31	939	28425
32	958	28101
33	969	27558
34	985	27167
35	989	26503
36	1017	26476
37	1034	26201
38	1053	25951
39	1062	25504
40	1098	25693
41	1111	25353
42	1142	25427
43	1149	24985
44	1163	24682
45	1173	24343
46	1205	24438
47	1235	24503
48	1259	24453
49	1262	23982
50	1265	23549
51	1268	23133
52	1277	22822
53	1297	22724
54	1303	22395
55	1309	22079
56	1345	22253
57	1349	21917
58	1353	21585
59	1383	21675
60	1420	21863
61	1422	21525
62	1444	21481
63	1457	21319
64	1506	21670
65	1517	21475
66	1520	21174
67	1538	21081
68	1566	21139
69	1591	21144
70	1594	20862
71	1601	20640
72	1616	20526
73	1648	20627
74	1664	20533
75	1690	20553
76	1702	20405
77	1709	20206
78	1731	20184
79	1733	19937
80	1736	19698
81	1740	19487
82	1742	19253
83	1749	19078
84	1770	19059
85	1802	19158
86	1808	18983
87	1812	18789
88	1821	18641
89	1843	18638
90	1857	18550
91	1859	18355
92	1863	18170
93	1876	18089
94	1892	18024
95	1894	17840
96	1897	17668
97	1901	17499
98	1940	17661
99	1954	17590
100	1967	17510
101	1981	17446
102	1984	17281
103	2019	17401
104	2027	17281
105	2049	17288
106	2059	17190
107	2079	17172
108	2110	17254
109	2122	17175
110	2124	17017
111	2127	16866
112	2129	16718
113	2137	16608
114	2168	16687
115	2192	16710
116	2201	16614
117	2203	16473
118	2205	16331
119	2207	16191
120	2210	16054
121	2214	15940
122	2217	15812
123	2251	15902
124	2271	15902
125	2275	15782
126	2289	15739
127	2292	15617
128	2296	15505
129	2301	15400
130	2303	15281
131	2306	15169
132	2313	15078
133	2324	15022
134	2344	15022
135	2365	15026
136	2370	14933
137	2378	14859
138	2382	14756
139	2388	14671
140	2410	14687
141	2412	14575
142	2414	14471
143	2417	14370
144	2421	14279
145	2429	14210
146	2466	14313
147	2490	14337
148	2498	14269
149	2527	14322
150	2551	14347
151	2556	14260
152	2558	14161
153	2565	14096
154	2574	14033
155	2576	13937
156	2578	13843
157	2586	13783
158	2634	13932
159	2661	13971
160	2688	14012
161	2728	14116
162	2733	14038
163	2735	13945
164	2738	13860
165	2742	13776
166	2743	13685
167	2746	13601
168	2748	13516
169	2750	13429
170	2752	13344
171	2821	13581
172	2823	13496
173	2827	13420
174	2830	13344
175	2832	13261
176	2834	13180
177	2836	13100
178	2843	13040
179	2845	12964
180	2847	12886
181	2894	13007
182	2905	12970
183	2908	12899
184	2963	13053
185	2975	13021
186	2977	12943
187	2979	12866
188	2981	12791
189	2983	12717
190	2985	12644
191	3028	12743
192	3056	12778
193	3058	12706
194	3062	12643
195	3066	12578
196	3071	12520
197	3073	12450
198	3084	12414
199	3132	12528
200	3135	12462
201	3137	12396
202	3142	12336
203	3152	12302
204	3203	12422
205	3209	12369
206	3211	12302
207	3218	12253
208	3220	12190
209	3240	12190
210	3257	12180
211	3274	12170
212	3288	12150
213	3292	12091
214	3296	12036
215	3299	11975
216	3328	12011
217	3333	11958
218	3337	11901
219	3367	11940
220	3402	11994
221	3409	11947
222	3415	11902
223	3432	11890
224	3446	11872
225	3451	11821
226	3507	11943
227	3513	11897
228	3515	11837
229	3535	11837
230	3559	11851
231	3580	11852
232	3582	11792
233	3595	11768
234	3599	11717
235	3607	11677
236	3629	11685
237	3643	11664
238	3659	11651
239	3661	11594
240	3680	11592
241	3686	11545
242	3688	11489
243	3690	11433
244	3695	11387
245	3727	11424
246	3744	11413
247	3754	11383
248	3799	11459
249	3801	11405
250	3804	11352
251	3806	11297
252	3814	11262
253	3818	11215
254	3872	11313
255	3907	11355
256	3910	11304
257	3912	11251
258	3914	11199
259	3917	11149
260	3935	11144
261	3938	11093
262	3940	11041
263	3943	10993
264	3958	10977
265	3971	10960
266	3973	10909
267	3976	10860
268	3978	10811
269	3983	10769
270	3985	10721
271	3994	10690
272	4013	10688
273	4015	10640
274	4018	10593
275	4029	10569
276	4061	10601
277	4077	10589
278	4092	10575
279	4094	10527
280	4096	10480
281	4097	10433
282	4103	10395
283	4104	10349
284	4106	10303
285	4110	10263
286	4122	10241
287	4155	10272
288	4170	10260
289	4172	10215
290	4174	10171
291	4185	10149
292	4217	10175
293	4237	10174
294	4253	10165
295	4268	10151
296	4289	10152
297	4317	10170
298	4319	10126
299	4321	10083
300	4327	10048
301	4328	10005
302	4344	9994
303	4379	10026
304	4393	10011
305	4395	9969
306	4397	9927
